"No.","Time","Source","Destination","Protocol","Length","Info"
"229","3.186565300","20.96.153.111","192.168.2.27","TCP","54","443  >  55532 [ACK] Seq=8531 Ack=2203 Win=262400 Len=0"
"230","3.186565300","20.96.153.111","192.168.2.27","TCP","54","443  >  55532 [ACK] Seq=8531 Ack=7190 Win=262400 Len=0"
"231","3.186642500","192.168.2.27","20.96.153.111","TCP","54","[TCP Dup ACK 227#1] 55533  >  443 [ACK] Seq=763 Ack=8531 Win=261888 Len=0"
"232","3.204626300","20.96.153.111","192.168.2.27","TLSv1.2","577","Application Data"
"233","3.204626300","20.96.153.111","192.168.2.27","TLSv1.2","92","Application Data"
"234","3.204761900","192.168.2.27","20.96.153.111","TCP","54","55532  >  443 [ACK] Seq=7190 Ack=9092 Win=261376 Len=0"
"235","3.211892900","20.96.153.111","192.168.2.27","TLSv1.2","245","Application Data"
"236","3.211892900","20.96.153.111","192.168.2.27","TLSv1.2","92","Application Data"
"237","3.212016300","192.168.2.27","20.96.153.111","TCP","54","55532  >  443 [ACK] Seq=7190 Ack=9321 Win=261120 Len=0"
"238","3.224175000","192.168.2.27","20.96.153.111","TCP","1494","55532  >  443 [ACK] Seq=7190 Ack=9321 Win=261120 Len=1440 [TCP PDU reassembled in 240]"
"239","3.224175000","192.168.2.27","20.96.153.111","TCP","1494","55532  >  443 [ACK] Seq=8630 Ack=9321 Win=261120 Len=1440 [TCP PDU reassembled in 240]"
"240","3.224175000","192.168.2.27","20.96.153.111","TLSv1.2","351","Application Data"
"241","3.232238800","192.168.2.28","224.0.0.251","MDNS","150","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _hap._tcp.local, ""QM"" question PTR Bedroom._companion-link._tcp.local PTR LG webOS TV 5391._hap._tcp.local"
"242","3.245688500","20.96.153.111","192.168.2.27","TCP","54","443  >  55532 [ACK] Seq=9321 Ack=10367 Win=262400 Len=0"
"243","3.260827700","20.96.153.111","192.168.2.27","TLSv1.2","245","Application Data"
"244","3.260827700","20.96.153.111","192.168.2.27","TLSv1.2","92","Application Data"
"245","3.260934800","192.168.2.27","20.96.153.111","TCP","54","55532  >  443 [ACK] Seq=10367 Ack=9550 Win=260864 Len=0"
"246","3.271317100","192.168.2.27","20.96.153.111","TCP","1494","55532  >  443 [ACK] Seq=10367 Ack=9550 Win=260864 Len=1440 [TCP PDU reassembled in 248]"
"247","3.271317100","192.168.2.27","20.96.153.111","TCP","1494","55532  >  443 [ACK] Seq=11807 Ack=9550 Win=260864 Len=1440 [TCP PDU reassembled in 248]"
"248","3.271317100","192.168.2.27","20.96.153.111","TLSv1.2","352","Application Data"
"249","3.293816500","20.96.153.111","192.168.2.27","TCP","54","443  >  55532 [ACK] Seq=9550 Ack=13545 Win=262400 Len=0"
"250","3.308381900","20.96.153.111","192.168.2.27","TLSv1.2","245","Application Data"
